0.000	1.000000000e+00	0.000000000e+00
1.000	1.048999920e+00	9.799967987e-02
5.236	2.343369952e+00	5.130936979e-01
9.658	5.570289788e+00	9.462386206e-01
14.315	1.103758365e+01	1.401924733e+00
19.251	1.914864272e+01	1.884326421e+00
24.441	3.024271098e+01	2.390573845e+00
29.859	4.462229151e+01	2.917666951e+00
35.482	6.256270059e+01	3.462991469e+00
41.293	8.431834806e+01	4.024311952e+00
47.278	1.101268503e+02	4.599689294e+00
53.425	1.402118980e+02	5.187406463e+00
59.726	1.747853597e+02	5.785912456e+00
66.173	2.140488786e+02	6.393781508e+00
72.760	2.581951262e+02	7.009683697e+00
79.482	3.074088065e+02	7.632363609e+00
86.335	3.618674796e+02	8.260624845e+00
93.315	4.217422478e+02	8.893318755e+00
100.420	4.871983387e+02	9.529336289e+00
107.649	5.583956091e+02	1.016760219e+01
115.000	6.354889839e+02	1.080707096e+01
122.471	7.186288515e+02	1.144672418e+01
130.063	8.079614203e+02	1.208556889e+01
137.775	9.036290501e+02	1.272263688e+01
145.607	1.005770562e+03	1.335698450e+01
153.561	1.114521538e+03	1.398769306e+01
161.636	1.230014611e+03	1.461386968e+01
169.834	1.352379753e+03	1.523464830e+01
178.157	1.481744566e+03	1.584919105e+01
186.606	1.618234577e+03	1.645668970e+01
195.184	1.761973542e+03	1.705636724e+01
203.891	1.913083764e+03	1.764747951e+01
212.732	2.071686419e+03	1.822931681e+01
221.709	2.237901909e+03	1.880120555e+01
230.824	2.411850225e+03	1.936250968e+01
240.081	2.593651337e+03	1.991263224e+01
249.483	2.783425607e+03	2.045101659e+01
259.035	2.981294224e+03	2.097714760e+01
268.740	3.187379667e+03	2.149055265e+01
278.602	3.401806203e+03	2.199080250e+01
288.626	3.624700404e+03	2.247751185e+01
298.816	3.856191705e+03	2.295033984e+01
309.179	4.096412995e+03	2.340899027e+01
319.719	4.345501237e+03	2.385321163e+01
330.407	4.602746896e+03	2.428142841e+01
341.179	4.866540894e+03	2.469112235e+01
352.041	5.136883979e+03	2.508274382e+01
362.998	5.413769872e+03	2.545673334e+01
374.053	5.697199220e+03	2.581354330e+01
385.213	5.987179513e+03	2.615363577e+01
396.481	6.283725175e+03	2.647748059e+01
407.863	6.586857667e+03	2.678555365e+01
419.363	6.896605618e+03	2.707833522e+01
430.987	7.213004984e+03	2.735630847e+01
442.741	7.536099224e+03	2.761995800e+01
454.628	7.865939502e+03	2.786976853e+01
466.656	8.202584916e+03	2.810622365e+01
478.829	8.546102747e+03	2.832980466e+01
491.154	8.896568735e+03	2.854098954e+01
503.635	9.254067384e+03	2.874025192e+01
516.280	9.618692292e+03	2.892806019e+01
529.095	9.990546510e+03	2.910487667e+01
542.086	1.036974294e+04	2.927115687e+01
555.260	1.075640474e+04	2.942734874e+01
568.624	1.115066583e+04	2.957389212e+01
582.186	1.155267133e+04	2.971121815e+01
595.952	1.196257818e+04	2.983974877e+01
609.931	1.238055567e+04	2.995989628e+01
624.131	1.280678610e+04	3.007206300e+01
638.560	1.324146549e+04	3.017664088e+01
653.227	1.368480435e+04	3.027401128e+01
668.142	1.413702846e+04	3.036454471e+01
683.315	1.459837983e+04	3.044860065e+01
698.755	1.506911765e+04	3.052652741e+01
714.473	1.554951938e+04	3.059866204e+01
730.481	1.603988190e+04	3.066533023e+01
746.790	1.654052286e+04	3.072684632e+01
763.413	1.705178202e+04	3.078351324e+01
780.364	1.757402286e+04	3.083562263e+01
797.655	1.810763428e+04	3.088345479e+01
815.302	1.865303244e+04	3.092727884e+01
833.321	1.921066291e+04	3.096735279e+01
851.727	1.978100293e+04	3.100392365e+01
870.539	2.036456394e+04	3.103722762e+01
889.775	2.096189445e+04	3.106749021e+01
909.455	2.157358316e+04	3.109492641e+01
929.601	2.220026247e+04	3.111974092e+01
950.234	2.284261239e+04	3.114212833e+01
971.381	2.350136491e+04	3.116227333e+01
993.065	2.417730894e+04	3.118035093e+01
1015.317	2.487129581e+04	3.119652671e+01
1038.165	2.558424550e+04	3.121095705e+01
1061.642	2.631715371e+04	3.122378939e+01
1085.784	2.707109983e+04	3.123516246e+01
1110.629	2.784725601e+04	3.124520654e+01
1136.218	2.864689757e+04	3.125404378e+01
1162.595	2.947141481e+04	3.126178837e+01
1189.811	3.032232668e+04	3.126854688e+01
1217.919	3.120129651e+04	3.127441854e+01
1246.977	3.211015014e+04	3.127949544e+01
1277.050	3.305089713e+04	3.128386289e+01
1308.210	3.402575542e+04	3.128759964e+01
1340.535	3.503718029e+04	3.129077818e+01
1374.113	3.608789849e+04	3.129346500e+01
1409.041	3.718094868e+04	3.129572092e+01
1445.427	3.831972965e+04	3.129760128e+01
1483.395	3.950805803e+04	3.129915628e+01
1523.081	4.075023803e+04	3.130043125e+01
1564.643	4.205114608e+04	3.130146688e+01
1608.256	4.341633444e+04	3.130229956e+01
1654.125	4.485215898e+04	3.130296159e+01
1702.484	4.636593818e+04	3.130348145e+01
1753.603	4.796615286e+04	3.130388413e+01
1807.799	4.966269943e+04	3.130419131e+01
1865.443	5.146721495e+04	3.130442167e+01
1926.977	5.339349902e+04	3.130459113e+01
1992.928	5.545806913e+04	3.130471310e+01
2000.000	5.567946802e+04	3.130472343e+01
